掌声响了会堂，主席很讲究，你说你不懂，为何（）？#全票都通过 无人举起手 代表不敢说 修宪无人驳
改任期叫梦，称帝了叫痛，是不是说（）？#没有做中国梦最痛 没有连任最痛 没有修宪最痛 没有一尊最痛
在我的任期你不能轻举妄言，你不能（）#忘记正确的记忆 忘记仇恨的语言 记忆那消失的几天 为受害者发言
在vtuber平子中，平子的生日是（誕生日は）#伟大史诗 6月15日 6月4日 10月1日
在vtuber平子中，平子的身高是（身長は）#一千米 1米8 八千万米 64米
在vtuber平子中，平子模仿的动作是#拉弓 游泳 连任 修宪
在vtuber平子中，平子用什么语言打招呼#韩语 庆丰话 日语 支语
白骨精叫晶晶，（）#令人深感痛心 维尼熊不放心 维尼熊不关心 维尼熊不担心
年轻人啊，都是（）#靡靡之音 中流砥柱 魑魅魍魎 韭菜点心
萨格尔王都妄自尊大，（）#感同毛主席争高下 感同维尼熊争高下 感同毛腊肉争高下 感同金三胖争高下
尽情地哭吧，（）#我会连任哒 我会修宪哒 我会禁评哒 我会称帝哒
游泳一千米，（）#足球我也踢 宪法我也易 拳击我也行 中国我称帝
（），通商宽衣为他#庆丰最美的话 梁家河最美的话 中南海最美的话 中国最美的话
精甚的工笔画，描绘出来啦，清华博士只有（）文化#小学 初中 高中 幼儿园
吃饱了，没事干，一起（）来#乳包 连任 修宪 乳华
选出一个没有任期的人，（）都发笑了#世界 网友 中国 人们
乳透社知名调教师是（）#林檬 闫光宇 共青团中央 维尼熊
攻坚战，有进展，（）#攻坚战取得了进展 贫困人口被处理完 攻坚战获得了进展 攻坚战有了进展
（），（），是维尼治国理政的方法#无限连任，修改宪法 岿然不动，坚定不移 修宪连任，会堂称帝 中南海里，通商宽衣
（），拥有无限任期#我做国家主席 我做中国皇帝 我修改神圣宪法 我坐在中南海里
千本习最后一句是：我来（）#稳坐一万年 稳坐一千年 稳坐一亿年 稳坐一百年
清单DISCO中：没有，没有，（）#你咧过嘴没有 通过 你连过任没有 你修过宪没有
你建设亚投行，你（）#投资非图快 稳坐中南海  处处清单来 经济搞坏来
庆丰到，庆丰到，（）#薄熙来让道 毛腊肉让道 毛泽东让道 毛主席让道
”清华初中博士头脑简单“一句中黑板上的算式是（）#1/3+1/5=2/8 1/2+1/3=2/5 1+1=3 1/2+1/4=2/6
含有”‘天使降临在我身边’中开门一幕“的作品有#庆丰到 红黄的萨格尔 黄红黄色 长者大战维尼
万习霜天中最多有几组轮唱？#2 1 3 4
赵 家 老 爷，（）#对韭菜砸下铁拳 稳坐高位乐趣无限 金银珠宝近在眼前 纷纷出国保险
我就是你们的（），习近平#神明 皇帝 主席 天帝
加把油，鼓足劲，（）#同胞失去了生命 撸起袖子来称帝 脱贫攻坚定胜利 定于一尊无压力
我是一个（）迷#足球 游泳 拳击 水泳
下列选项有在“习近平勇夺世界杯”中出现的人名是（）#カール・マルクス 卡尔・马克思 Karl・Marx 카를・마르크스
世界杯作品中，谁被维尼拉清单？#跳跳虎 小猪 屹耳 瑞比
”演员“中除包子外唯一的同级知名彩色人物是（）#京子 蛤蟆 三胖 腊肉
“庆丰话”中，苟利国家生死以，（）#亚当斯密汤因比 岂因祸福避趋之 十里山路不换肩 别看今天闹得欢
家在陕北由（）演唱#奸夫 包子 淫妇 ミク
那窑洞里边住着，（）#萨格尔王 庆丰包子 小熊维尼 中国皇帝
小反旗中质量最低以至于亲自道歉的作品是#在习亡的田野上 称帝之路 青花瓷 赵家镇
“长者大战维尼”中游玩的场景是#屋顶 前院 后院 埃及
“长者大战维尼”中游玩的服务器是#中南海 梁家河 陕西富平 疯狂宇宙
“长者大战维尼”中谁获胜了？#蛤蟆 包子 拜登 腊肉
“长者大战维尼”中蛤蟆的助手的眼镜是什么形状？#心形 圆形 正方形 长方形
以下哪个up没有出现在“包子起誓”中？#中国boy 老番茄 敬汉卿 Lexburner
YouTube直播聊天中多次因发无关信息被浪人拉出来拷打的是（）#v畜 抗畜 带带 粉蛆
（）网警，我命令你速速脱下裤子与我做爱#首都 成都 四川 广东
